DUKE	34,818	0.014	874
ODONNELL	34,818	0.014	875
GUY	34,818	0.014	876
MICHAEL	34,818	0.014	877
BRITT	34,818	0.014	878
FREDERICK	34,818	0.014	879
DAUGHERTY	34,818	0.014	880
BERGER	34,818	0.014	881
DILLARD	34,818	0.014	882
ALSTON	34,818	0.014	883
JARVIS	34,818	0.014	884
FRYE	34,818	0.014	885
RIGGS	34,818	0.014	886
CHANEY	34,818	0.014	887
ODOM	32,331	0.013	888
DUFFY	32,331	0.013	889
FITZPATRICK	32,331	0.013	890
VALENZUELA	32,331	0.013	891
MERRILL	32,331	0.013	892
MAYER	32,331	0.013	893
ALFORD	32,331	0.013	894
MCPHERSON	32,331	0.013	895
ACEVEDO	32,331	0.013	896
DONOVAN	32,331	0.013	897
BARRERA	32,331	0.013	898
ALBERT	32,331	0.013	899
COTE	32,331	0.013	900
REILLY	32,331	0.013	901
COMPTON	32,331	0.013	902
RAYMOND	32,331	0.013	903
MOONEY	32,331	0.013	904
MCGOWAN	32,331	0.013	905
CRAFT	32,331	0.013	906
CLEVELAND	32,331	0.013	907
CLEMONS	32,331	0.013	908
WYNN	32,331	0.013	909
NIELSEN	32,331	0.013	910
BAIRD	32,331	0.013	911
STANTON	32,331	0.013	912
SNIDER	32,331	0.013	913
ROSALES	32,331	0.013	914
BRIGHT	32,331	0.013	915
WITT	32,331	0.013	916
STUART	32,331	0.013	917
HAYS	32,331	0.013	918
HOLDEN	32,331	0.013	919
RUTLEDGE	32,331	0.013	920
KINNEY	32,331	0.013	921
CLEMENTS	32,331	0.013	922
CASTANEDA	32,331	0.013	923
SLATER	32,331	0.013	924
HAHN	32,331	0.013	925
EMERSON	32,331	0.013	926
CONRAD	32,331	0.013	927
BURKS	32,331	0.013	928
DELANEY	32,331	0.013	929
PATE	32,331	0.013	930
LANCASTER	32,331	0.013	931
SWEET	32,331	0.013	932
JUSTICE	32,331	0.013	933
TYSON	32,331	0.013	934
SHARPE	32,331	0.013	935
WHITFIELD	32,331	0.013	936
TALLEY	32,331	0.013	937
MACIAS	32,331	0.013	938
IRWIN	32,331	0.013	939
BURRIS	32,331	0.013	940
RATLIFF	32,331	0.013	941
MCCRAY	32,331	0.013	942
MADDEN	32,331	0.013	943
KAUFMAN	32,331	0.013	944
BEACH	32,331	0.013	945
GOFF	32,331	0.013	946
CASH	32,331	0.013	947
BOLTON	32,331	0.013	948
MCFADDEN	32,331	0.013	949
LEVINE	32,331	0.013	950
GOOD	32,331	0.013	951
BYERS	32,331	0.013	952
KIRKLAND	32,331	0.013	953
KIDD	32,331	0.013	954
WORKMAN	32,331	0.013	955
CARNEY	32,331	0.013	956
DALE	32,331	0.013	957
MCLEOD	32,331	0.013	958
HOLCOMB	32,331	0.013	959
ENGLAND	32,331	0.013	960
FINCH	32,331	0.013	961
HEAD	29,844	0.012	962
BURT	29,844	0.012	963
HENDRIX	29,844	0.012	964
SOSA	29,844	0.012	965
HANEY	29,844	0.012	966
FRANKS	29,844	0.012	967
SARGENT	29,844	0.012	968
NIEVES	29,844	0.012	969
DOWNS	29,844	0.012	970
RASMUSSEN	29,844	0.012	971
BIRD	29,844	0.012	972
HEWITT	29,844	0.012	973
LINDSAY	29,844	0.012	974
LE	29,844	0.012	975
FOREMAN	29,844	0.012	976
VALENCIA	29,844	0.012	977
ONEIL	29,844	0.012	978
DELACRUZ	29,844	0.012	979
VINSON	29,844	0.012	980
DEJESUS	29,844	0.012	981
HYDE	29,844	0.012	982
FORBES	29,844	0.012	983
GILLIAM	29,844	0.012	984
GUTHRIE	29,844	0.012	985
WOOTEN	29,844	0.012	986
HUBER	29,844	0.012	987
BARLOW	29,844	0.012	988
BOYLE	29,844	0.012	989
MCMAHON	29,844	0.012	990
BUCKNER	29,844	0.012	991
ROCHA	29,844	0.012	992
PUCKETT	29,844	0.012	993
LANGLEY	29,844	0.012	994
KNOWLES	29,844	0.012	995
COOKE	29,844	0.012	996
VELAZQUEZ	29,844	0.012	997
WHITLEY	29,844	0.012	998
NOEL	29,844	0.012	999
VANG	29,844	0.012	1000
SHEA	29,844	0.012	1001
ROUSE	29,844	0.012	1002
HARTLEY	29,844	0.012	1003
MAYFIELD	29,844	0.012	1004
ELDER	29,844	0.012	1005
RANKIN	29,844	0.012	1006
HANNA	29,844	0.012	1007
COWAN	29,844	0.012	1008
LUCERO	29,844	0.012	1009
ARROYO	29,844	0.012	1010
SLAUGHTER	29,844	0.012	1011
HAAS	29,844	0.012	1012
OCONNELL	29,844	0.012	1013
MINOR	29,844	0.012	1014
KENDRICK	29,844	0.012	1015
SHIRLEY	29,844	0.012	1016
KENDALL	29,844	0.012	1017
BOUCHER	29,844	0.012	1018
ARCHER	29,844	0.012	1019
BOGGS	29,844	0.012	1020
ODELL	29,844	0.012	1021
DOUGHERTY	29,844	0.012	1022
ANDERSEN	29,844	0.012	1023
NEWELL	29,844	0.012	1024
CROWE	29,844	0.012	1025
WANG	29,844	0.012	1026
FRIEDMAN	29,844	0.012	1027
BLAND	29,844	0.012	1028
SWAIN	29,844	0.012	1029
HOLLEY	29,844	0.012	1030
FELIX	29,844	0.012	1031
PEARCE	29,844	0.012	1032
CHILDS	29,844	0.012	1033
YARBROUGH	29,844	0.012	1034
GALVAN	29,844	0.012	1035
PROCTOR	29,844	0.012	1036
MEEKS	29,844	0.012	1037
LOZANO	29,844	0.012	1038
MORA	29,844	0.012	1039
RANGEL	29,844	0.012	1040
BACON	29,844	0.012	1041
VILLANUEVA	29,844	0.012	1042
SCHAEFER	29,844	0.012	1043
ROSADO	29,844	0.012	1044
HELMS	29,844	0.012	1045
BOYCE	29,844	0.012	1046
GOSS	29,844	0.012	1047
STINSON	27,357	0.011	1048
SMART	27,357	0.011	1049
LAKE	27,357	0.011	1050
IBARRA	27,357	0.011	1051
HUTCHINS	27,357	0.011	1052
COVINGTON	27,357	0.011	1053
REYNA	27,357	0.011	1054
GREGG	27,357	0.011	1055
WERNER	27,357	0.011	1056
CROWLEY	27,357	0.011	1057
HATCHER	27,357	0.011	1058
MACKEY	27,357	0.011	1059
BUNCH	27,357	0.011	1060
WOMACK	27,357	0.011	1061
POLK	27,357	0.011	1062
JAMISON	27,357	0.011	1063
DODD	27,357	0.011	1064
CHILDRESS	27,357	0.011	1065
CHILDERS	27,357	0.011	1066
CAMP	27,357	0.011	1067
VILLA	27,357	0.011	1068
DYE	27,357	0.011	1069
SPRINGER	27,357	0.011	1070
MAHONEY	27,357	0.011	1071
DAILEY	27,357	0.011	1072
BELCHER	27,357	0.011	1073
LOCKHART	27,357	0.011	1074
GRIGGS	27,357	0.011	1075
COSTA	27,357	0.011	1076
CONNOR	27,357	0.011	1077
BRANDT	27,357	0.011	1078
WINTER	27,357	0.011	1079
WALDEN	27,357	0.011	1080
MOSER	27,357	0.011	1081
TRACY	27,357	0.011	1082
TATUM	27,357	0.011	1083
MCCANN	27,357	0.011	1084
AKERS	27,357	0.011	1085
LUTZ	27,357	0.011	1086
PRYOR	27,357	0.011	1087
LAW	27,357	0.011	1088
OROZCO	27,357	0.011	1089
MCALLISTER	27,357	0.011	1090
LUGO	27,357	0.011	1091
DAVIES	27,357	0.011	1092
SHOEMAKER	27,357	0.011	1093
MADISON	27,357	0.011	1094
RUTHERFORD	27,357	0.011	1095
NEWSOME	27,357	0.011	1096
MAGEE	27,357	0.011	1097
CHAMBERLAIN	27,357	0.011	1098
BLANTON	27,357	0.011	1099
SIMMS	27,357	0.011	1100
GODFREY	27,357	0.011	1101
FLANAGAN	27,357	0.011	1102
CRUM	27,357	0.011	1103
CORDOVA	27,357	0.011	1104
ESCOBAR	27,357	0.011	1105
DOWNING	27,357	0.011	1106
SINCLAIR	27,357	0.011	1107
DONAHUE	27,357	0.011	1108
KRUEGER	27,357	0.011	1109
MCGINNIS	27,357	0.011	1110
GORE	27,357	0.011	1111
FARRIS	27,357	0.011	1112
WEBBER	27,357	0.011	1113
CORBETT	27,357	0.011	1114
ANDRADE	27,357	0.011	1115
STARR	27,357	0.011	1116
LYON	27,357	0.011	1117
YODER	27,357	0.011	1118
HASTINGS	27,357	0.011	1119
MCGRATH	27,357	0.011	1120
SPIVEY	27,357	0.011	1121
KRAUSE	27,357	0.011	1122
HARDEN	27,357	0.011	1123
CRABTREE	27,357	0.011	1124
KIRKPATRICK	27,357	0.011	1125
HOLLIS	27,357	0.011	1126
BRANDON	27,357	0.011	1127
ARRINGTON	27,357	0.011	1128
ERVIN	27,357	0.011	1129
CLIFTON	27,357	0.011	1130
RITTER	27,357	0.011	1131
MCGHEE	27,357	0.011	1132
BOLDEN	27,357	0.011	1133
MALONEY	27,357	0.011	1134
GAGNON	27,357	0.011	1135
DUNBAR	27,357	0.011	1136
PONCE	27,357	0.011	1137
PIKE	27,357	0.011	1138
MAYES	27,357	0.011	1139
HEARD	27,357	0.011	1140
BEATTY	27,357	0.011	1141
MOBLEY	27,357	0.011	1142
KIMBALL	27,357	0.011	1143
BUTTS	27,357	0.011	1144
MONTES	27,357	0.011	1145
HERBERT	27,357	0.011	1146
GRADY	27,357	0.011	1147
ELDRIDGE	27,357	0.011	1148
BRAUN	27,357	0.011	1149
HAMM	27,357	0.011	1150
GIBBONS	27,357	0.011	1151
SEYMOUR	27,357	0.011	1152
MOYER	27,357	0.011	1153
MANLEY	27,357	0.011	1154
HERRON	27,357	0.011	1155
PLUMMER	27,357	0.011	1156
ELMORE	27,357	0.011	1157
CRAMER	27,357	0.011	1158
GARY	27,357	0.011	1159
RUCKER	27,357	0.011	1160
HILTON	27,357	0.011	1161
BLUE	27,357	0.011	1162
PIERSON	27,357	0.011	1163
FONTENOT	27,357	0.011	1164
FIELD	27,357	0.011	1165
RUBIO	27,357	0.011	1166
GRACE	27,357	0.011	1167
GOLDSTEIN	27,357	0.011	1168
ELKINS	27,357	0.011	1169
WILLS	24,870	0.01	1170
NOVAK	24,870	0.01	1171
JOHN	24,870	0.01	1172
HICKEY	24,870	0.01	1173
WORLEY	24,870	0.01	1174
GORMAN	24,870	0.01	1175
KATZ	24,870	0.01	1176
DICKINSON	24,870	0.01	1177
BROUSSARD	24,870	0.01	1178
FRITZ	24,870	0.01	1179
WOODRUFF	24,870	0.01	1180
CROW	24,870	0.01	1181
CHRISTOPHER	24,870	0.01	1182
BRITTON	24,870	0.01	1183
FORREST	24,870	0.01	1184
NANCE	24,870	0.01	1185
LEHMAN	24,870	0.01	1186
BINGHAM	24,870	0.01	1187
ZUNIGA	24,870	0.01	1188
WHALEY	24,870	0.01	1189
SHAFER	24,870	0.01	1190
COFFMAN	24,870	0.01	1191
STEWARD	24,870	0.01	1192
DELAROSA	24,870	0.01	1193
NIX	24,870	0.01	1194
NEELY	24,870	0.01	1195
NUMBERS	24,870	0.01	1196
MATA	24,870	0.01	1197
MANUEL	24,870	0.01	1198
DAVILA	24,870	0.01	1199
MCCABE	24,870	0.01	1200
KESSLER	24,870	0.01	1201
EMERY	24,870	0.01	1202
BOWLING	24,870	0.01	1203
HINKLE	24,870	0.01	1204
WELSH	24,870	0.01	1205
PAGAN	24,870	0.01	1206
GOLDBERG	24,870	0.01	1207
GOINS	24,870	0.01	1208
CROUCH	24,870	0.01	1209
CUEVAS	24,870	0.01	1210
QUINONES	24,870	0.01	1211
MCDERMOTT	24,870	0.01	1212
HENDRICKSON	24,870	0.01	1213
SAMUELS	24,870	0.01	1214
DENTON	24,870	0.01	1215
BERGERON	24,870	0.01	1216
LAM	24,870	0.01	1217
IVEY	24,870	0.01	1218
LOCKE	24,870	0.01	1219
HAINES	24,870	0.01	1220
THURMAN	24,870	0.01	1221
SNELL	24,870	0.01	1222
HOSKINS	24,870	0.01	1223
BYRNE	24,870	0.01	1224
MILTON	24,870	0.01	1225
WINSTON	24,870	0.01	1226
ARTHUR	24,870	0.01	1227
ARIAS	24,870	0.01	1228
STANFORD	24,870	0.01	1229
ROE	24,870	0.01	1230
CORBIN	24,870	0.01	1231
BELTRAN	24,870	0.01	1232
CHAPPELL	24,870	0.01	1233
HURT	24,870	0.01	1234
DOWNEY	24,870	0.01	1235
DOOLEY	24,870	0.01	1236
TUTTLE	24,870	0.01	1237
COUCH	24,870	0.01	1238
PAYTON	24,870	0.01	1239
MCELROY	24,870	0.01	1240
CROCKETT	24,870	0.01	1241
GROVES	24,870	0.01	1242
CLEMENT	24,870	0.01	1243
LESLIE	24,870	0.01	1244
CARTWRIGHT	24,870	0.01	1245
DICKEY	24,870	0.01	1246
MCGILL	24,870	0.01	1247
DUBOIS	24,870	0.01	1248
MUNIZ	24,870	0.01	1249
ERWIN	24,870	0.01	1250
SELF	24,870	0.01	1251
TOLBERT	24,870	0.01	1252
DEMPSEY	24,870	0.01	1253
CISNEROS	24,870	0.01	1254
SEWELL	24,870	0.01	1255
LATHAM	24,870	0.01	1256
GARLAND	24,870	0.01	1257
VIGIL	24,870	0.01	1258
TAPIA	24,870	0.01	1259
STERLING	24,870	0.01	1260
RAINEY	24,870	0.01	1261
NORWOOD	24,870	0.01	1262
LACY	24,870	0.01	1263
STROUD	24,870	0.01	1264
MEADE	24,870	0.01	1265
AMOS	24,870	0.01	1266
TIPTON	24,870	0.01	1267
LORD	24,870	0.01	1268
KUHN	24,870	0.01	1269
HILLIARD	24,870	0.01	1270
BONILLA	24,870	0.01	1271
TEAGUE	24,870	0.01	1272
COURTNEY	24,870	0.01	1273
GUNN	24,870	0.01	1274
HO	24,870	0.01	1275
GREENWOOD	24,870	0.01	1276
CORREA	24,870	0.01	1277
REECE	24,870	0.01	1278
WESTON	24,870	0.01	1279
POE	24,870	0.01	1280
TRENT	24,870	0.01	1281
PINEDA	24,870	0.01	1282
PHIPPS	24,870	0.01	1283
FREY	24,870	0.01	1284
KAISER	24,870	0.01	1285
AMES	24,870	0.01	1286
PAIGE	24,870	0.01	1287
GUNTER	24,870	0.01	1288
SCHMITT	24,870	0.01	1289
MILLIGAN	24,870	0.01	1290
ESPINOSA	24,870	0.01	1291
CARLTON	24,870	0.01	1292
BOWDEN	24,870	0.01	1293
VICKERS	24,870	0.01	1294
LOWRY	24,870	0.01	1295
PRITCHARD	24,870	0.01	1296
COSTELLO	24,870	0.01	1297
PIPER	22,383	0.009	1298
MCCLELLAN	22,383	0.009	1299
LOVELL	22,383	0.009	1300
DREW	22,383	0.009	1301
SHEEHAN	22,383	0.009	1302
QUICK	22,383	0.009	1303
HATCH	22,383	0.009	1304
DOBSON	22,383	0.009	1305
SINGH	22,383	0.009	1306
JEFFRIES	22,383	0.009	1307
HOLLINGSWORTH	22,383	0.009	1308
SORENSEN	22,383	0.009	1309
MEZA	22,383	0.009	1310
FINK	22,383	0.009	1311
DONNELLY	22,383	0.009	1312
BURRELL	22,383	0.009	1313
BRUNO	22,383	0.009	1314
TOMLINSON	22,383	0.009	1315
COLBERT	22,383	0.009	1316
BILLINGS	22,383	0.009	1317
RITCHIE	22,383	0.009	1318
HELTON	22,383	0.009	1319
SUTHERLAND	22,383	0.009	1320
PEOPLES	22,383	0.009	1321
MCQUEEN	22,383	0.009	1322
GASTON	22,383	0.009	1323
THOMASON	22,383	0.009	1324
MCKINLEY	22,383	0.009	1325
GIVENS	22,383	0.009	1326
CROCKER	22,383	0.009	1327
VOGEL	22,383	0.009	1328
ROBISON	22,383	0.009	1329
DUNHAM	22,383	0.009	1330
COKER	22,383	0.009	1331
SWARTZ	22,383	0.009	1332
KEYS	22,383	0.009	1333
LILLY	22,383	0.009	1334
LADNER	22,383	0.009	1335
HANNAH	22,383	0.009	1336
WILLARD	22,383	0.009	1337
RICHTER	22,383	0.009	1338
HARGROVE	22,383	0.009	1339
EDMONDS	22,383	0.009	1340
BRANTLEY	22,383	0.009	1341
ALBRIGHT	22,383	0.009	1342
MURDOCK	22,383	0.009	1343
BOSWELL	22,383	0.009	1344
MULLER	22,383	0.009	1345
QUINTERO	22,383	0.009	1346
PADGETT	22,383	0.009	1347
KENNEY	22,383	0.009	1348
DALY	22,383	0.009	1349
CONNOLLY	22,383	0.009	1350
PIERRE	22,383	0.009	1351
INMAN	22,383	0.009	1352
QUINTANA	22,383	0.009	1353
LUND	22,383	0.009	1354
BARNARD	22,383	0.009	1355
VILLEGAS	22,383	0.009	1356
SIMONS	22,383	0.009	1357
LAND	22,383	0.009	1358
HUGGINS	22,383	0.009	1359
TIDWELL	22,383	0.009	1360
SANDERSON	22,383	0.009	1361
BULLARD	22,383	0.009	1362
MCCLENDON	22,383	0.009	1363
DUARTE	22,383	0.009	1364
DRAPER	22,383	0.009	1365
MEREDITH	22,383	0.009	1366
MARRERO	22,383	0.009	1367
DWYER	22,383	0.009	1368
ABRAMS	22,383	0.009	1369
STOVER	22,383	0.009	1370
GOODE	22,383	0.009	1371
FRASER	22,383	0.009	1372
CREWS	22,383	0.009	1373
BERNAL	22,383	0.009	1374
SMILEY	22,383	0.009	1375
GODWIN	22,383	0.009	1376
FISH	22,383	0.009	1377
CONKLIN	22,383	0.009	1378
MCNEAL	22,383	0.009	1379
BACA	22,383	0.009	1380
ESPARZA	22,383	0.009	1381
CROWDER	22,383	0.009	1382
BOWER	22,383	0.009	1383
NICHOLAS	22,383	0.009	1384
CHUNG	22,383	0.009	1385
BREWSTER	22,383	0.009	1386
MCNEILL	22,383	0.009	1387
DICK	22,383	0.009	1388
RODRIGUES	22,383	0.009	1389
LEAL	22,383	0.009	1390
COATES	22,383	0.009	1391
RAINES	22,383	0.009	1392
MCCAIN	22,383	0.009	1393
MCCORD	22,383	0.009	1394
MINER	22,383	0.009	1395
HOLBROOK	22,383	0.009	1396
SWIFT	22,383	0.009	1397
DUKES	22,383	0.009	1398
CARLISLE	22,383	0.009	1399
ALDRIDGE	22,383	0.009	1400
ACKERMAN	22,383	0.009	1401
STARKS	22,383	0.009	1402
RICKS	22,383	0.009	1403
HOLLIDAY	22,383	0.009	1404
FERRIS	22,383	0.009	1405
HAIRSTON	22,383	0.009	1406
SHEFFIELD	22,383	0.009	1407
LANGE	22,383	0.009	1408
FOUNTAIN	22,383	0.009	1409
MARINO	22,383	0.009	1410
DOSS	22,383	0.009	1411
BETTS	22,383	0.009	1412
KAPLAN	22,383	0.009	1413
CARMICHAEL	22,383	0.009	1414
BLOOM	22,383	0.009	1415
RUFFIN	22,383	0.009	1416
PENN	22,383	0.009	1417
KERN	22,383	0.009	1418
BOWLES	22,383	0.009	1419
SIZEMORE	22,383	0.009	1420
LARKIN	22,383	0.009	1421
DUPREE	22,383	0.009	1422
JEWELL	22,383	0.009	1423
SILVER	22,383	0.009	1424
SEALS	22,383	0.009	1425
METCALF	22,383	0.009	1426
HUTCHISON	22,383	0.009	1427
HENLEY	22,383	0.009	1428
FARR	22,383	0.009	1429
CASTLE	22,383	0.009	1430
MCCAULEY	22,383	0.009	1431
HANKINS	22,383	0.009	1432
GUSTAFSON	22,383	0.009	1433
DEAL	22,383	0.009	1434
CURRAN	22,383	0.009	1435
ASH	22,383	0.009	1436
WADDELL	22,383	0.009	1437
RAMEY	22,383	0.009	1438
CATES	22,383	0.009	1439
POLLOCK	22,383	0.009	1440
MAJOR	22,383	0.009	1441
IRVIN	22,383	0.009	1442
CUMMINS	22,383	0.009	1443
MESSER	22,383	0.009	1444
HELLER	22,383	0.009	1445
DEWITT	22,383	0.009	1446
LIN	22,383	0.009	1447
FUNK	22,383	0.009	1448
CORNETT	22,383	0.009	1449
PALACIOS	22,383	0.009	1450
GALINDO	22,383	0.009	1451
CANO	22,383	0.009	1452
HATHAWAY	22,383	0.009	1453
SINGER	19,896	0.008	1454
PHAM	19,896	0.008	1455
ENRIQUEZ	19,896	0.008	1456
AARON	19,896	0.008	1457
SALGADO	19,896	0.008	1458
PELLETIER	19,896	0.008	1459
PAINTER	19,896	0.008	1460
WISEMAN	19,896	0.008	1461
BLOUNT	19,896	0.008	1462
HAND	19,896	0.008	1463
FELICIANO	19,896	0.008	1464
TEMPLE	19,896	0.008	1465
HOUSER	19,896	0.008	1466
DOHERTY	19,896	0.008	1467
MEAD	19,896	0.008	1468
MCGRAW	19,896	0.008	1469
TONEY	19,896	0.008	1470
SWAN	19,896	0.008	1471
MELVIN	19,896	0.008	1472
CAPPS	19,896	0.008	1473
BLANCO	19,896	0.008	1474
BLACKMON	19,896	0.008	1475
WESLEY	19,896	0.008	1476
THOMSON	19,896	0.008	1477
MCMANUS	19,896	0.008	1478
FAIR	19,896	0.008	1479
BURKETT	19,896	0.008	1480
POST	19,896	0.008	1481
GLEASON	19,896	0.008	1482
RUDOLPH	19,896	0.008	1483
OTT	19,896	0.008	1484
DICKENS	19,896	0.008	1485
CORMIER	19,896	0.008	1486
VOSS	19,896	0.008	1487
RUSHING	19,896	0.008	1488
ROSENBERG	19,896	0.008	1489
HURD	19,896	0.008	1490
DUMAS	19,896	0.008	1491
BENITEZ	19,896	0.008	1492
ARELLANO	19,896	0.008	1493
STORY	19,896	0.008	1494
MARIN	19,896	0.008	1495
CAUDILL	19,896	0.008	1496
BRAGG	19,896	0.008	1497
JARAMILLO	19,896	0.008	1498
HUERTA	19,896	0.008	1499
GIPSON	19,896	0.008	1500
COLVIN	19,896	0.008	1501
BIGGS	19,896	0.008	1502
VELA	19,896	0.008	1503
PLATT	19,896	0.008	1504
CASSIDY	19,896	0.008	1505
TOMPKINS	19,896	0.008	1506
MCCOLLUM	19,896	0.008	1507
KAY	19,896	0.008	1508
GABRIEL	19,896	0.008	1509
DOLAN	19,896	0.008	1510
DALEY	19,896	0.008	1511
CRUMP	19,896	0.008	1512
STREET	19,896	0.008	1513
SNEED	19,896	0.008	1514
KILGORE	19,896	0.008	1515
GROVE	19,896	0.008	1516
GRIMM	19,896	0.008	1517
DAVISON	19,896	0.008	1518
BRUNSON	19,896	0.008	1519
PRATER	19,896	0.008	1520
MARCUM	19,896	0.008	1521
DEVINE	19,896	0.008	1522
KYLE	19,896	0.008	1523
DODGE	19,896	0.008	1524
STRATTON	19,896	0.008	1525
ROSAS	19,896	0.008	1526
CHOI	19,896	0.008	1527
TRIPP	19,896	0.008	1528
LEDBETTER	19,896	0.008	1529
LAY	19,896	0.008	1530
HIGHTOWER	19,896	0.008	1531
HAYWOOD	19,896	0.008	1532
FELDMAN	19,896	0.008	1533
EPPS	19,896	0.008	1534
YEAGER	19,896	0.008	1535
POSEY	19,896	0.008	1536
SYLVESTER	19,896	0.008	1537
SCRUGGS	19,896	0.008	1538
COPE	19,896	0.008	1539
STUBBS	19,896	0.008	1540
RICHEY	19,896	0.008	1541
OVERTON	19,896	0.008	1542
TROTTER	19,896	0.008	1543
SPRAGUE	19,896	0.008	1544
CORDERO	19,896	0.008	1545
BUTCHER	19,896	0.008	1546
BURGER	19,896	0.008	1547
STILES	19,896	0.008	1548
BURGOS	19,896	0.008	1549
WOODSON	19,896	0.008	1550
HORNER	19,896	0.008	1551
BASSETT	19,896	0.008	1552
PURCELL	19,896	0.008	1553
HASKINS	19,896	0.008	1554
GEE	19,896	0.008	1555
AKINS	19,896	0.008	1556
ABRAHAM	19,896	0.008	1557
HOYT	19,896	0.008	1558
ZIEGLER	19,896	0.008	1559
SPAULDING	19,896	0.008	1560
HADLEY	19,896	0.008	1561
GRUBBS	19,896	0.008	1562
SUMNER	19,896	0.008	1563
MURILLO	19,896	0.008	1564
ZAVALA	19,896	0.008	1565
SHOOK	19,896	0.008	1566
LOCKWOOD	19,896	0.008	1567
JARRETT	19,896	0.008	1568
DRISCOLL	19,896	0.008	1569
DAHL	19,896	0.008	1570
THORPE	19,896	0.008	1571
SHERIDAN	19,896	0.008	1572
REDMOND	19,896	0.008	1573
PUTNAM	19,896	0.008	1574
MCWILLIAMS	19,896	0.008	1575
MCRAE	19,896	0.008	1576
CORNELL	19,896	0.008	1577
FELTON	19,896	0.008	1578
ROMANO	19,896	0.008	1579
JOINER	19,896	0.008	1580
SADLER	19,896	0.008	1581
HEDRICK	19,896	0.008	1582
HAGER	19,896	0.008	1583
HAGEN	19,896	0.008	1584
FITCH	19,896	0.008	1585
COULTER	19,896	0.008	1586
THACKER	19,896	0.008	1587
MANSFIELD	19,896	0.008	1588
LANGSTON	19,896	0.008	1589
GUIDRY	19,896	0.008	1590
FERREIRA	19,896	0.008	1591
CORLEY	19,896	0.008	1592
CONN	19,896	0.008	1593
ROSSI	19,896	0.008	1594
LACKEY	19,896	0.008	1595
CODY	19,896	0.008	1596
BAEZ	19,896	0.008	1597
SAENZ	19,896	0.008	1598
MCNAMARA	19,896	0.008	1599
DARNELL	19,896	0.008	1600
MICHEL	19,896	0.008	1601
MCMULLEN	19,896	0.008	1602
MCKENNA	19,896	0.008	1603
MCDONOUGH	19,896	0.008	1604
LINK	19,896	0.008	1605
ENGEL	19,896	0.008	1606
BROWNE	19,896	0.008	1607
ROPER	19,896	0.008	1608
PEACOCK	19,896	0.008	1609
EUBANKS	19,896	0.008	1610
DRUMMOND	19,896	0.008	1611
STRINGER	19,896	0.008	1612
PRITCHETT	19,896	0.008	1613
PARHAM	19,896	0.008	1614
MIMS	19,896	0.008	1615
LANDERS	19,896	0.008	1616
HAM	19,896	0.008	1617
GRAYSON	19,896	0.008	1618
STACY	19,896	0.008	1619
SCHAFER	19,896	0.008	1620
EGAN	19,896	0.008	1621
TIMMONS	19,896	0.008	1622
OHARA	19,896	0.008	1623
KEEN	19,896	0.008	1624
HAMLIN	19,896	0.008	1625
FINN	19,896	0.008	1626
CORTES	19,896	0.008	1627
MCNAIR	19,896	0.008	1628
LOUIS	19,896	0.008	1629
CLIFFORD	19,896	0.008	1630
NADEAU	19,896	0.008	1631
MOSELEY	19,896	0.008	1632
MICHAUD	19,896	0.008	1633
ROSEN	19,896	0.008	1634
OAKES	19,896	0.008	1635
KURTZ	19,896	0.008	1636
JEFFERS	19,896	0.008	1637
CALLOWAY	19,896	0.008	1638
BEAL	19,896	0.008	1639
BAUTISTA	19,896	0.008	1640
WINN	19,896	0.008	1641
SUGGS	19,896	0.008	1642
STERN	19,896	0.008	1643
STAPLETON	19,896	0.008	1644
LYLES	19,896	0.008	1645
LAIRD	19,896	0.008	1646
MONTANO	19,896	0.008	1647
DIAMOND	19,896	0.008	1648
DAWKINS	19,896	0.008	1649
ROLAND	19,896	0.008	1650
HAGAN	19,896	0.008	1651
GOLDMAN	19,896	0.008	1652
BRYSON	19,896	0.008	1653
BARAJAS	19,896	0.008	1654
LOVETT	19,896	0.008	1655
SEGURA	19,896	0.008	1656
METZ	19,896	0.008	1657
LOCKETT	19,896	0.008	1658
LANGFORD	19,896	0.008	1659
HINSON	19,896	0.008	1660
EASTMAN	19,896	0.008	1661
ROCK	19,896	0.008	1662
HOOKS	19,896	0.008	1663
WOODY	17,409	0.007	1664
SMALLWOOD	17,409	0.007	1665
SHAPIRO	17,409	0.007	1666
CROWELL	17,409	0.007	1667
WHALEN	17,409	0.007	1668
TRIPLETT	17,409	0.007	1669
HOOKER	17,409	0.007	1670
CHATMAN	17,409	0.007	1671
ALDRICH	17,409	0.007	1672
CAHILL	17,409	0.007	1673
YOUNGBLOOD	17,409	0.007	1674
YBARRA	17,409	0.007	1675
STALLINGS	17,409	0.007	1676
SHEETS	17,409	0.007	1677
SAMUEL	17,409	0.007	1678
REEDER	17,409	0.007	1679
PERSON	17,409	0.007	1680
PACK	17,409	0.007	1681
LACEY	17,409	0.007	1682
CONNELLY	17,409	0.007	1683
BATEMAN	17,409	0.007	1684
ABERNATHY	17,409	0.007	1685
WINKLER	17,409	0.007	1686
WILKES	17,409	0.007	1687
MASTERS	17,409	0.007	1688
HACKETT	17,409	0.007	1689
GRANGER	17,409	0.007	1690
GILLIS	17,409	0.007	1691
SCHMITZ	17,409	0.007	1692
SAPP	17,409	0.007	1693
NAPIER	17,409	0.007	1694
SOUZA	17,409	0.007	1695
LANIER	17,409	0.007	1696
GOMES	17,409	0.007	1697
